                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6067,                 1.3291,                 1.3071,                0.81828,                0.74052,                0.83713,                 0.4605,                 1.5402,                 1.0781,                 1.2936,               0.070033,              0.0033297,              0.0033297
                      1,                 1.5644,                 1.1605,                 1.3108,                0.86736,                0.78758,                0.86558,                 0.4779,                 1.5406,                0.92466,                 1.2699,               0.040011,              0.0066411,              0.0066411
                      2,                 1.5253,                 1.0909,                 1.3009,                0.89435,                0.82097,                0.89741,                0.46421,                 1.6551,                0.86948,                 1.3677,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.4784,                 1.0201,                 1.2807,                0.90786,                0.83946,                0.90646,                0.51821,                 1.4788,                0.82196,                 1.2426,               0.009901,               0.009901,               0.009901
                      4,                 1.4588,                0.98179,                 1.2707,                0.90333,                0.84041,                 0.9145,                 0.4964,                 1.5616,                0.80336,                 1.2905,               0.009901,               0.009901,               0.009901
                      5,                 1.4467,                0.96802,                 1.2624,                0.90263,                0.84447,                0.91496,                 0.5623,                 1.3151,                0.77726,                 1.1908,               0.009868,               0.009868,               0.009868
                      6,                 1.4362,                0.95341,                 1.2673,                0.91787,                0.86268,                0.92906,                0.52925,                 1.4957,                0.73937,                 1.2686,               0.009835,               0.009835,               0.009835
                      7,                 1.4221,                0.93969,                 1.2594,                0.91673,                0.86274,                0.92495,                0.55473,                 1.3965,                 0.7511,                 1.2256,               0.009802,               0.009802,               0.009802
                      8,                 1.4231,                0.92394,                 1.2562,                0.91806,                0.86901,                0.93539,                0.57947,                 1.3285,                0.67357,                 1.1905,               0.009769,               0.009769,               0.009769
                      9,                 1.3957,                0.90808,                 1.2459,                0.92286,                0.87238,                 0.9354,                0.56335,                  1.376,                0.67367,                 1.2148,               0.009736,               0.009736,               0.009736
                     10,                 1.4032,                0.90609,                 1.2498,                0.91814,                0.88237,                0.93578,                0.57855,                 1.3347,                0.66179,                 1.1941,               0.009703,               0.009703,               0.009703
                     11,                 1.3909,                0.89216,                 1.2443,                0.91095,                0.86722,                0.92599,                0.57793,                 1.3148,                0.69212,                 1.1816,                0.00967,                0.00967,                0.00967
                     12,                 1.3851,                0.89278,                 1.2401,                0.92156,                0.87891,                0.93894,                0.56655,                 1.3592,                0.64744,                 1.2051,               0.009637,               0.009637,               0.009637
                     13,                  1.384,                0.87633,                 1.2406,                0.92724,                0.87913,                0.93947,                0.58125,                 1.3211,                0.65374,                 1.1862,               0.009604,               0.009604,               0.009604
                     14,                 1.3729,                0.86956,                 1.2364,                0.92858,                0.88909,                0.94395,                0.58943,                 1.2979,                0.64989,                 1.1783,               0.009571,               0.009571,               0.009571
                     15,                 1.3698,                0.87112,                 1.2346,                0.92399,                0.88215,                0.93938,                0.57982,                 1.3333,                0.66686,                 1.1856,               0.009538,               0.009538,               0.009538
                     16,                 1.3693,                0.85912,                 1.2343,                0.92768,                0.89121,                0.94203,                0.58783,                 1.3339,                0.62321,                 1.1909,               0.009505,               0.009505,               0.009505
                     17,                 1.3644,                0.86083,                 1.2344,                0.93234,                0.88929,                0.94414,                0.60415,                 1.2694,                0.60897,                 1.1645,               0.009472,               0.009472,               0.009472
                     18,                 1.3604,                0.85254,                 1.2357,                 0.9316,                0.89195,                0.94725,                 0.5951,                 1.2644,                0.61603,                 1.1696,               0.009439,               0.009439,               0.009439
                     19,                 1.3659,                0.85678,                 1.2298,                0.92912,                0.88748,                0.94466,                0.58481,                 1.3543,                0.61482,                 1.1975,               0.009406,               0.009406,               0.009406
                     20,                 1.3599,                0.85249,                 1.2318,                0.93099,                0.88936,                0.94777,                0.58659,                 1.3217,                0.61404,                 1.1855,               0.009373,               0.009373,               0.009373
                     21,                 1.3615,                0.85409,                 1.2282,                0.92765,                0.89638,                0.94985,                0.60833,                 1.2594,                0.59742,                 1.1583,                0.00934,                0.00934,                0.00934
                     22,                 1.3544,                0.84209,                 1.2238,                0.93428,                0.88669,                 0.9468,                0.60475,                 1.2675,                0.59366,                 1.1588,               0.009307,               0.009307,               0.009307
                     23,                 1.3557,                0.84399,                   1.23,                0.93038,                0.89486,                 0.9472,                0.59946,                 1.2974,                0.59987,                   1.17,               0.009274,               0.009274,               0.009274
                     24,                 1.3507,                0.83567,                  1.224,                0.93098,                0.90052,                0.94884,                0.60778,                 1.2769,                0.59608,                 1.1661,               0.009241,               0.009241,               0.009241
                     25,                  1.341,                0.83817,                 1.2165,                0.92851,                0.89942,                0.94665,                0.60683,                 1.2643,                0.58221,                 1.1574,               0.009208,               0.009208,               0.009208
                     26,                 1.3425,                0.83451,                 1.2172,                0.92582,                0.90198,                0.94883,                0.61459,                 1.2464,                0.57989,                 1.1474,               0.009175,               0.009175,               0.009175
                     27,                 1.3405,                0.83107,                 1.2208,                 0.9346,                0.89891,                 0.9518,                0.61614,                 1.2555,                0.57402,                 1.1545,               0.009142,               0.009142,               0.009142
                     28,                 1.3483,                0.83281,                 1.2192,                0.93446,                0.89737,                0.95038,                0.60685,                 1.2754,                0.57901,                 1.1614,               0.009109,               0.009109,               0.009109
                     29,                 1.3405,                0.83074,                 1.2213,                0.93212,                  0.899,                0.95138,                0.61515,                  1.248,                0.57166,                 1.1514,               0.009076,               0.009076,               0.009076
                     30,                 1.3368,                0.82393,                 1.2196,                0.92764,                0.90794,                0.95179,                0.61448,                 1.2555,                 0.5668,                 1.1545,               0.009043,               0.009043,               0.009043
                     31,                 1.3325,                0.81587,                 1.2193,                0.93041,                0.90241,                0.95146,                0.61856,                 1.2383,                0.56162,                 1.1488,                0.00901,                0.00901,                0.00901
                     32,                 1.3384,                0.82423,                 1.2187,                0.93048,                0.90579,                0.95234,                0.61751,                 1.2487,                0.56657,                  1.149,               0.008977,               0.008977,               0.008977
                     33,                  1.328,                0.81753,                 1.2201,                0.92935,                0.91376,                0.95323,                0.61865,                 1.2422,                0.56326,                 1.1485,               0.008944,               0.008944,               0.008944
                     34,                 1.3303,                0.81721,                 1.2156,                0.92962,                0.90836,                0.95344,                0.61706,                 1.2495,                0.56508,                 1.1551,               0.008911,               0.008911,               0.008911
                     35,                 1.3301,                0.81161,                 1.2159,                0.93723,                0.90089,                0.95453,                 0.6193,                 1.2398,                0.55983,                  1.147,               0.008878,               0.008878,               0.008878
                     36,                 1.3292,                0.81142,                 1.2127,                0.93541,                0.90174,                0.95259,                0.62088,                 1.2297,                0.56045,                 1.1421,               0.008845,               0.008845,               0.008845
                     37,                  1.324,                 0.8076,                 1.2144,                0.92822,                0.90527,                 0.9527,                0.62238,                 1.2274,                0.55576,                 1.1414,               0.008812,               0.008812,               0.008812
                     38,                 1.3229,                0.80859,                 1.2136,                0.93402,                0.89895,                0.95121,                0.61727,                 1.2474,                0.56125,                  1.149,               0.008779,               0.008779,               0.008779
                     39,                 1.3268,                0.80757,                 1.2141,                0.93728,                0.90134,                0.95384,                0.62312,                 1.2305,                0.55682,                 1.1432,               0.008746,               0.008746,               0.008746
                     40,                  1.323,                 0.8036,                 1.2096,                0.94055,                0.89813,                0.95441,                0.62647,                 1.2223,                0.55114,                 1.1392,               0.008713,               0.008713,               0.008713
                     41,                 1.3336,                0.81186,                 1.2169,                0.93211,                0.90709,                0.95615,                0.62487,                 1.2224,                0.55074,                 1.1392,                0.00868,                0.00868,                0.00868
                     42,                 1.3182,                0.80103,                 1.2047,                0.93612,                0.90463,                0.95605,                0.62135,                 1.2342,                0.55158,                 1.1437,               0.008647,               0.008647,               0.008647
                     43,                 1.3247,                0.80321,                 1.2107,                0.93579,                0.90244,                0.95482,                  0.623,                 1.2305,                 0.5513,                 1.1403,               0.008614,               0.008614,               0.008614
                     44,                 1.3241,                0.80738,                  1.212,                0.93906,                0.90192,                0.95409,                0.62675,                 1.2194,                0.54621,                 1.1362,               0.008581,               0.008581,               0.008581
                     45,                 1.3195,                0.80282,                 1.2064,                 0.9387,                0.90286,                0.95479,                 0.6263,                   1.22,                 0.5453,                 1.1372,               0.008548,               0.008548,               0.008548
                     46,                 1.3164,                 0.8014,                 1.2084,                0.93628,                0.90472,                0.95467,                0.62631,                 1.2249,                0.54605,                 1.1379,               0.008515,               0.008515,               0.008515
                     47,                 1.3169,                0.79562,                 1.2089,                0.93871,                0.90204,                0.95548,                0.62816,                 1.2217,                0.54448,                 1.1373,               0.008482,               0.008482,               0.008482
                     48,                 1.3188,                0.80031,                 1.2126,                0.93337,                0.90919,                0.95537,                0.62812,                 1.2176,                0.54569,                 1.1364,               0.008449,               0.008449,               0.008449
                     49,                 1.3191,                0.80283,                 1.2091,                 0.9373,                0.90788,                0.95645,                0.62664,                 1.2227,                0.54179,                 1.1385,               0.008416,               0.008416,               0.008416
                     50,                 1.3174,                  0.797,                 1.2054,                0.94001,                0.90399,                0.95677,                0.62825,                 1.2175,                0.54134,                 1.1365,               0.008383,               0.008383,               0.008383
                     51,                 1.3174,                0.79831,                 1.2085,                  0.935,                0.90783,                0.95723,                0.62622,                 1.2233,                0.54204,                 1.1394,                0.00835,                0.00835,                0.00835
                     52,                 1.3043,                0.78906,                 1.2016,                0.93651,                0.90635,                0.95776,                0.62799,                  1.222,                0.54182,                 1.1383,               0.008317,               0.008317,               0.008317
                     53,                 1.3135,                0.79914,                 1.2106,                 0.9385,                 0.9052,                0.95777,                0.62799,                 1.2228,                0.54155,                   1.14,               0.008284,               0.008284,               0.008284
                     54,                 1.3141,                0.79606,                 1.2132,                0.93797,                0.90654,                0.95811,                 0.6297,                 1.2182,                 0.5397,                 1.1386,               0.008251,               0.008251,               0.008251
                     55,                 1.3092,                0.78535,                 1.2052,                0.94156,                0.90351,                0.95728,                0.62927,                 1.2181,                0.53948,                 1.1386,               0.008218,               0.008218,               0.008218
                     56,                 1.3155,                0.78852,                 1.2056,                0.93783,                0.90849,                0.95696,                0.62882,                 1.2214,                0.53928,                 1.1398,               0.008185,               0.008185,               0.008185
                     57,                 1.3088,                0.78342,                    1.2,                0.93931,                0.90846,                0.95674,                0.62922,                 1.2204,                0.53834,                 1.1387,               0.008152,               0.008152,               0.008152
                     58,                 1.3137,                0.79228,                 1.2041,                0.93719,                0.90976,                0.95716,                 0.6289,                 1.2222,                0.53741,                  1.139,               0.008119,               0.008119,               0.008119
                     59,                 1.3015,                0.78396,                 1.1964,                0.93599,                0.91014,                0.95702,                0.62922,                 1.2206,                0.53796,                 1.1382,               0.008086,               0.008086,               0.008086
                     60,                 1.3014,                0.78185,                 1.1958,                0.93515,                0.91017,                0.95704,                0.63072,                 1.2199,                0.53604,                 1.1372,               0.008053,               0.008053,               0.008053
                     61,                 1.3116,                0.78728,                 1.2018,                0.93718,                0.91072,                 0.9579,                0.63092,                 1.2174,                 0.5364,                 1.1359,                0.00802,                0.00802,                0.00802
                     62,                  1.305,                0.78483,                 1.1998,                0.93657,                0.91051,                0.95785,                0.63178,                 1.2156,                0.53553,                 1.1354,               0.007987,               0.007987,               0.007987
                     63,                 1.3061,                0.77672,                 1.2002,                0.93579,                0.91098,                0.95779,                 0.6311,                 1.2158,                0.53447,                 1.1351,               0.007954,               0.007954,               0.007954
                     64,                 1.3104,                0.78502,                 1.2025,                0.93489,                0.91035,                0.95816,                0.63186,                 1.2141,                0.53406,                 1.1343,               0.007921,               0.007921,               0.007921
                     65,                 1.3014,                 0.7784,                 1.2021,                0.93638,                0.91008,                0.95786,                0.63128,                 1.2142,                0.53383,                 1.1342,               0.007888,               0.007888,               0.007888
                     66,                 1.3046,                0.78124,                 1.1973,                0.93823,                0.90869,                0.95799,                 0.6312,                  1.214,                0.53358,                  1.134,               0.007855,               0.007855,               0.007855
                     67,                 1.3068,                0.77865,                 1.2013,                0.93699,                0.90805,                0.95809,                0.63165,                 1.2132,                0.53298,                 1.1338,               0.007822,               0.007822,               0.007822
                     68,                 1.3067,                0.78082,                 1.2032,                0.93532,                0.90962,                0.95804,                 0.6323,                 1.2124,                 0.5328,                 1.1336,               0.007789,               0.007789,               0.007789
                     69,                  1.305,                0.78193,                 1.1997,                0.93784,                0.90834,                0.95785,                0.63177,                 1.2125,                0.53219,                 1.1338,               0.007756,               0.007756,               0.007756
                     70,                 1.3064,                0.78051,                 1.2018,                0.93895,                0.90708,                0.95774,                  0.632,                 1.2147,                0.53243,                 1.1347,               0.007723,               0.007723,               0.007723
                     71,                 1.3052,                0.77857,                  1.197,                 0.9388,                0.90696,                0.95774,                0.63266,                 1.2163,                 0.5328,                 1.1353,                0.00769,                0.00769,                0.00769
                     72,                 1.2965,                0.77508,                 1.2004,                0.93868,                0.90798,                0.95747,                0.63237,                 1.2171,                0.53248,                 1.1356,               0.007657,               0.007657,               0.007657
                     73,                 1.2926,                0.76506,                  1.198,                0.93757,                0.90887,                0.95751,                0.63272,                 1.2181,                0.53219,                 1.1362,               0.007624,               0.007624,               0.007624
                     74,                 1.3059,                0.77982,                 1.1993,                0.93989,                0.90871,                0.95759,                 0.6321,                 1.2183,                0.53287,                 1.1362,               0.007591,               0.007591,               0.007591
                     75,                 1.3048,                 0.7827,                 1.2057,                0.94016,                0.90957,                0.95764,                0.63223,                  1.219,                 0.5324,                 1.1364,               0.007558,               0.007558,               0.007558
                     76,                 1.2915,                0.76973,                 1.1938,                0.93793,                0.91011,                 0.9576,                0.63214,                 1.2196,                0.53255,                 1.1365,               0.007525,               0.007525,               0.007525
                     77,                 1.2952,                0.76475,                 1.1942,                0.93726,                0.91037,                0.95755,                 0.6323,                 1.2191,                0.53208,                 1.1363,               0.007492,               0.007492,               0.007492
                     78,                 1.2972,                0.76775,                 1.1972,                0.93674,                0.91088,                0.95779,                0.63251,                 1.2191,                0.53172,                 1.1363,               0.007459,               0.007459,               0.007459
                     79,                  1.294,                0.77245,                 1.1974,                0.93658,                0.91107,                0.95723,                0.63235,                 1.2191,                0.53191,                 1.1361,               0.007426,               0.007426,               0.007426
                     80,                 1.2924,                0.76368,                 1.1917,                0.93736,                0.91114,                0.95727,                0.63221,                 1.2191,                0.53142,                 1.1362,               0.007393,               0.007393,               0.007393
                     81,                 1.2959,                0.76939,                 1.1955,                0.93654,                0.91126,                 0.9574,                0.63227,                 1.2189,                0.53136,                 1.1361,                0.00736,                0.00736,                0.00736
                     82,                 1.2908,                0.76236,                 1.1942,                0.93634,                0.91112,                0.95736,                0.63222,                 1.2196,                0.53117,                 1.1362,               0.007327,               0.007327,               0.007327
                     83,                  1.295,                0.76667,                 1.1957,                 0.9366,                0.91137,                0.95762,                0.63187,                   1.22,                0.53107,                 1.1364,               0.007294,               0.007294,               0.007294
                     84,                 1.2886,                0.76357,                 1.1912,                0.93715,                0.91124,                0.95772,                0.63206,                 1.2205,                0.53058,                 1.1365,               0.007261,               0.007261,               0.007261
                     85,                 1.2913,                 0.7642,                 1.1962,                0.93885,                0.91002,                0.95767,                0.63164,                 1.2211,                0.53032,                 1.1367,               0.007228,               0.007228,               0.007228
                     86,                 1.2899,                0.76429,                 1.1932,                0.93888,                0.91022,                0.95769,                0.63215,                 1.2221,                0.53033,                 1.1372,               0.007195,               0.007195,               0.007195
                     87,                 1.2892,                0.76651,                 1.1931,                0.93807,                0.91073,                0.95798,                0.63134,                  1.223,                0.53033,                 1.1377,               0.007162,               0.007162,               0.007162
                     88,                 1.2923,                0.76485,                 1.1999,                0.93878,                0.91061,                0.95817,                0.63119,                 1.2236,                 0.5301,                 1.1379,               0.007129,               0.007129,               0.007129
                     89,                 1.2899,                0.76586,                 1.1934,                0.93765,                0.91172,                0.95817,                 0.6311,                 1.2238,                0.52991,                 1.1381,               0.007096,               0.007096,               0.007096
                     90,                 1.2936,                0.76208,                 1.1926,                0.93775,                0.91149,                0.95819,                0.63116,                 1.2233,                 0.5294,                 1.1378,               0.007063,               0.007063,               0.007063
                     91,                 1.2835,                0.75319,                 1.1917,                0.93805,                0.91316,                0.95852,                0.63084,                 1.2234,                0.52918,                 1.1378,                0.00703,                0.00703,                0.00703
                     92,                 1.2919,                0.76336,                 1.1917,                0.93673,                0.91386,                0.95824,                0.63097,                 1.2233,                0.52911,                 1.1377,               0.006997,               0.006997,               0.006997
                     93,                 1.2848,                0.75786,                 1.1889,                0.93586,                 0.9142,                0.95815,                0.63096,                 1.2235,                0.52873,                 1.1377,               0.006964,               0.006964,               0.006964
                     94,                 1.2862,                0.76348,                  1.198,                0.93637,                0.91457,                0.95812,                0.63074,                 1.2239,                0.52869,                 1.1378,               0.006931,               0.006931,               0.006931
                     95,                 1.2909,                0.76106,                 1.1913,                0.93638,                0.91442,                0.95808,                0.63024,                 1.2238,                0.52885,                 1.1377,               0.006898,               0.006898,               0.006898
                     96,                 1.2861,                0.76049,                 1.1897,                0.93619,                  0.914,                0.95848,                0.63094,                 1.2237,                0.52868,                 1.1377,               0.006865,               0.006865,               0.006865
                     97,                 1.2785,                0.74984,                 1.1828,                0.93617,                 0.9135,                0.95851,                0.63097,                 1.2236,                0.52846,                 1.1377,               0.006832,               0.006832,               0.006832
                     98,                   1.29,                0.76281,                 1.1939,                0.93719,                0.91296,                0.95833,                0.63114,                 1.2235,                0.52821,                 1.1375,               0.006799,               0.006799,               0.006799
